cluster_0	6	DBN1	FLNA	JUP	LIMA1	MYH9	SYNPO
cluster_1	6	STX12	STX6	STX7	STX8	VAMP4	VTI1B
cluster_2	6	TAF1	TAF4	TAF6	TAF7	TAF9	WDR5
cluster_3	5	CDC42	DBN1	FLNA	IQGAP1	LIMA1
cluster_4	5	CDC5L	MRE11	NBN	RAD50	SNW1
cluster_5	5	DDX20	GEMIN2	GEMIN4	GEMIN5	SRP54
cluster_6	5	KPNB1	NUP107	NUP153	NUP98	RCC1
cluster_7	5	LSM1	SNRPD2	SNRPD3	SNRPE	SNRPF
cluster_8	5	SNRPB	SNRPD2	SNRPD3	SNRPE	STRAP
cluster_9	4	ACOX1	UBA1	UBE2N	UBE2V1
cluster_10	4	ACTN1	ACTN4	TPM1	TPM3
cluster_11	4	ANLN	LIMA1	LYN	MYH9
cluster_12	4	ATRX	PRKDC	XRCC5	XRCC6
cluster_13	4	BAG6	HSPA1A	HSPA1B	HSPA8
cluster_14	4	BRCA1	JUN	MCM2	TERF2IP
cluster_15	4	CBX1	CBX3	CBX5	CHAF1B
cluster_16	4	CBX5	ORC1	ORC2	ORC3
cluster_17	4	CDC5L	SMC1A	SMC3	SNW1
cluster_18	4	CLTA	CLTB	GAK	HSPA8
cluster_19	4	CLTB	GAK	HIP1R	PICALM
cluster_20	4	DBN1	LIMA1	MYO1C	PTEN
cluster_21	4	EGFR	IQGAP1	LIMA1	MYH9
cluster_22	4	GTF2F1	HNRNPA1	HNRNPU	NCL
cluster_23	4	HSPA1A	HSPA1B	SMAD2	SMAD3
cluster_24	4	KPNB1	NUP153	SMAD2	SMAD3
cluster_25	4	LRWD1	ORC2	ORC3	ORC4
cluster_26	4	MCM7	SF3A1	SF3B1	SNRPA1
cluster_27	4	POLR2A	SMARCA2	SMARCA4	SMARCB1
cluster_28	4	STX16	STX6	STX7	VAMP4
cluster_29	3	ABL1	CDK1	FYN
cluster_30	3	ABL1	PRKDC	XRCC6
cluster_31	3	ACTB	ARRB1	ARRB2
cluster_32	3	ACTB	CORO1B	CORO1C
cluster_33	3	ACTB	HSP90AA1	HSP90AB1
cluster_34	3	ACTL6A	CDC5L	SNW1
cluster_35	3	ACTN1	ACTN4	DNM1L
cluster_36	3	ACTR1A	DCTN2	DNM1L
cluster_37	3	ACTR2	ACTR3	CORO1A
cluster_38	3	AKT1	MTOR	RPTOR
cluster_39	3	AMFR	DERL1	SYVN1
cluster_40	3	ANKFY1	VPS26A	VPS35
cluster_41	3	ANXA1	HSPA1A	HSPA1B
cluster_42	3	APEX1	PRKDC	XRCC5
cluster_43	3	APH1A	PSEN1	PSEN2
cluster_44	3	APP	FLOT1	FLOT2
cluster_45	3	AR	NR3C1	TP53
cluster_46	3	ATP5F1A	ATP5F1B	ATP5F1D
cluster_47	3	ATRX	SMC1A	SMC3
cluster_48	3	ATXN1	NCOR1	NCOR2
cluster_49	3	AURKA	UBA1	UBE2N
cluster_50	3	BABAM1	BABAM2	BRCC3
cluster_51	3	BABAM1	TNKS	TNKS2
cluster_52	3	BAX	BCL2	BCL2L1
cluster_53	3	BAX	PSMC3	PSMC5
cluster_54	3	BCL10	MALT1	PYCARD
cluster_55	3	BLM	TERF1	TERF2
cluster_56	3	BMI1	RNF2	TRIM27
cluster_57	3	BRCA1	JUN	RAD18
cluster_58	3	BRCA1	TP63	TP73
cluster_59	3	BRCA2	SMAD2	SMAD3
cluster_60	3	C1QBP	PHB1	PHB2
cluster_61	3	CBX1	CBX3	MAX
cluster_62	3	CCAR2	SMC2	SMC4
cluster_63	3	CD2BP2	DDX20	GEMIN4
cluster_64	3	CD36	FYN	SRC
cluster_65	3	CDC20	CDC27	MAD1L1
cluster_66	3	CDC42	PARD3	PKHD1
